"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"boulder","Mantra","Unknown Crag","","8B+","2020-03-04","One session about 2 years ago - two more this year! Unfortunately one obviously chipped pocket, but probably worth it cause the rest is so much fun!","One session about 2 years ago - two more this year! Unfortunately one obviously chipped pocket, but probably worth it cause the rest is so much fun!","mega classic","redpoint","germany","Frankenjura"
"boulder","Big Kat","Chironico","101","8B+","2020-02-20","Yess 2 sessions absolutely my style!","Yess 2 sessions absolutely my style!","mega classic","redpoint","switzerland","Ticino"
"boulder","Laktat extension","Unknown Crag","","8B+","2020-01-06","Traversing on til the far right end of the wall","Traversing on til the far right end of the wall","mega classic","redpoint","germany","Frankenjura"
"boulder","Urlaub fürs Gehirn","Unknown Crag","appenloch","8B+","2019-09-24","Second ascent. Fabi's Masterpiece!","Second ascent. Fabi's Masterpiece!","mega classic","redpoint","germany","Frankenjura"
"boulder","Royal Flush","Unknown Crag","","8B+","2019-03-28","#FA                The full line on the boulder starting like Mutant and going all the way up to the end of Backgammon! Wanted to do this for a long time and after getting close last weekend I came back this afternoon and crushed it first go! 16 hard moves in a row - a technical first part into a powerful ending - climbs just perfect but pumps like hell!","#FA The full line on the boulder starting like Mutant and going all the way up to the end of Backgammon! Wanted to do this for a long time and after getting close last weekend I came back this afternoon and crushed it first go! 16 hard moves in a row - a technical first part into a powerful ending - climbs just perfect but pumps like hell!","mega classic","redpoint","germany","Frankenjura"
"boulder","Crashpad Dummy","Unknown Crag","","8B+","2019-01-26","Beautiful tricky traverse, unexpected one day ascent in semi-dry conditions, totally my style so hard to say anything about the grade...","Beautiful tricky traverse, unexpected one day ascent in semi-dry conditions, totally my style so hard to say anything about the grade...","mega classic","redpoint","germany","Frankenjura"
"boulder","Riot act","Unknown Crag","","8B+","2018-09-05","8B/+, tried this one a couple of times over the last years, two more sessions this year. One of the best in the Frankenjura for me! Felt harder than all the 8B's I've done so I would rather say soft 8B+ than hard 8B!","8B/+, tried this one a couple of times over the last years, two more sessions this year. One of the best in the Frankenjura for me! Felt harder than all the 8B's I've done so I would rather say soft 8B+ than hard 8B!","mega classic","redpoint","germany","Frankenjura"
"boulder","The Source","Maltatal","tal der koenige","8B+","2018-08-20","First I thought this can't be so much harder than the stand, then it became a real battle. Today it finally went down on the second go of my third session! Perfect line and perfect conditions today!","First I thought this can't be so much harder than the stand, then it became a real battle. Today it finally went down on the second go of my third session! Perfect line and perfect conditions today!","mega classic","redpoint","austria","Villach"
"boulder","Hips don't lie sit","Unknown Crag","","8B+","2018-03-14","Finally my little nemesis is over! After a lot of sessions where i was ill or nearly every hold was wet, I finally did the last remaining boulder at this spot! Definitely my hardest problem until now!","Finally my little nemesis is over! After a lot of sessions where i was ill or nearly every hold was wet, I finally did the last remaining boulder at this spot! Definitely my hardest problem until now!","mega classic","redpoint","germany","Frankenjura"
"boulder","Flachmann","Unknown Crag","","8B","2020-03-22","Would be 3 star if it wasn't that dabby","Would be 3 star if it wasn't that dabby","very good","redpoint","germany","Frankenjura"
